study_name,year,species,site_id,site_name,latitude,longitude,substrate,fund_source,deployment_date,retrieval_date,sample_id,lab,lab_sample_id,lab_set_name,lab_analysis_date,analyte,wet_value,blank_corrected_value,q_dalifier,units,reported_as,pct_solids,dry_value
MWPE,2013,Mytilus trossulus,NPS_FBAR,"Fidalgo Bay Aq Res, Weaverling Spit",48.4824478833333,-122.583879266666,cobble_mud,DNR Aq.Rs.,2012-11-14T00:00:00Z,2013-01-08T00:00:00Z,13NPS_FBAR-MTW01,NOAA,119-1749,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.3,NA,"D,LOQ",ng/g,wet,14.8272807794508,2.02329749103943
MWPE,2013,Mytilus trossulus,WB_PCB04,"Penn Cove, Pre-test Baseline 4",NA,NA,NA,NA,NA,NA,13WB_PCB-MTW04,NOAA,119-1830,MW2905,2013-06-27T00:00:00Z,SumPBDEs11,0.3,NA,D,ng/g,wet,13.9726578206674,2.14705035971224
MWPE,2013,Mytilus trossulus,SPS_FI,"Fox, Tanglewood Is",47.26457,-122.64442,mud_sand,NEP,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,SPS_FI,NOAA,119-1698,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.3,NA,"D,LOQ",ng/g,wet,13.1830985915493,2.27564102564102
PSMM2016,2016,Mytilus trossulus,PSS13175-000353,"Purdy, Nicholson",47.37608,-122.62493,gravel_sand,Pierce County,2015-10-26T00:00:00Z,2016-02-06T00:00:00Z,16RSMP353-MTW01,NOAA,119-3291,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.31,NA,D,ng/g,wet,16.38366223,1.89212885158461
MWPE,2013,Mytilus trossulus,SPS_ALYN,"Case Inlet, Allyn",47.38366,-122.82616,cobble_mud,NEP,2012-11-14T00:00:00Z,2013-01-10T00:00:00Z,SPS_ALYN,NOAA,119-1697,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.31,NA,"D,LOQ",ng/g,wet,15.0825270347182,2.05535849056605
MWPE,2013,Mytilus trossulus,SPS_SH,"Shelton, Oak Bay Marina",47.21418,-123.08637,mud,NEP,2012-11-12T00:00:00Z,2013-01-07T00:00:00Z,SPS_SH,NOAA,119-1702,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.33,NA,D,ng/g,wet,13.1924614505996,2.50142857142858
MWPE,2013,Mytilus trossulus,NPS_CPAR4,"Cherry Pt Aq Res, 4 Conoco Phillips",48.82076,-122.71014,cobble_sad,DNR Aq.Rs.,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,13NPS_CPAR4-MTW01,NOAA,119-1748,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.34,NA,D,ng/g,wet,16.296787015568,2.08630081300814
MWPE,2013,Mytilus trossulus,SJI_CIAR2,"Cypress Is Aq Res, Strawberry Bay",48.5637,-122.7222,mud_sand,DNR Aq.Rs.,2012-11-13T00:00:00Z,2013-01-14T00:00:00Z,13NPS_CIAR2-MTW01,NOAA,119-1739,MW2887,2013-06-26T00:00:00Z,SumPBDEs11,0.35,NA,D,ng/g,wet,15.5841417123576,2.24587280108255
MWPE,2013,Mytilus trossulus,NPS_CPAR3,"Cherry Pt Aq Res, 3 Alcoa-BP",48.85459,-122.72732,cobble_sad,SSA Marine,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,13NPS_CPAR3-MTW01,NOAA,119-1747,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.35,NA,D,ng/g,wet,15.0823827629911,2.32058823529412
MWPE,2013,Mytilus trossulus,WB_TC,Triangle Cv,48.198531,-122.464646,mud,Stillaguamish Tribe,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,13WB_TC-MTW01,NOAA,119-1758,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.35,NA,D,ng/g,wet,12.6268320180383,2.77187500000001
PSMM2016,2016,Mytilus trossulus,PSS13175-000481,Gig Harbor Boat Launch,47.33785,-122.58277,mud_sand,Pierce County,2015-10-26T00:00:00Z,2016-02-06T00:00:00Z,16RSMP481-MTW01,NOAA,119-3292,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.35,NA,D,ng/g,wet,15.46507284,2.26316425160788
MWPE,2013,Mytilus trossulus,SJI_SJFH,"Friday Hbr Labs, San Juan Is",48.5453333333333,-123.013191666666,cobble_sad,San Juan County MRC,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13SJI_SJFH-MTW01,NOAA,119-1754,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.37,NA,D,ng/g,wet,15.5478150728309,2.37975560081466
PSMM2016,2016,Mytilus trossulus,PSS13175-000004,Cherry Point North,48.85844,-122.74072,cobble_gravel,RSMP/SAM,2015-10-27T00:00:00Z,2016-02-08T00:00:00Z,16RSMP004-MTW01,NOAA,119-3231,PS3339,2016-04-27T00:00:00Z,SumPBDEs11,0.38,NA,"D,B,LOQ",ng/g,wet,15.90342978,2.38942168611883
MWPE,2013,Mytilus trossulus,NPS_BSH,"Bellingham Bay, Squalicum Hbr",48.75334,-122.4993,rock,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,13NPS_BSH-MTW01,NOAA,119-1644,MW2882,2013-05-30T00:00:00Z,SumPBDEs11,0.39,NA,D,ng/g,wet,14.184089528932,2.74955963302754
MWPE,2013,Mytilus trossulus,NPS_BWL,"W Bellingham Bay, Lummi Nation",48.75095,-122.619283333333,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,13NPS_BWL-MTW01,NOAA,119-1737,MW2887,2013-06-26T00:00:00Z,SumPBDEs11,0.39,NA,D,ng/g,wet,15.4848315652335,2.51859375000001
MWPE,2013,Mytilus trossulus,SPS_TI,Totten Inlet,47.13268,-123.0216,mud_sand,NEP,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,SPS_TI,NOAA,119-2043,MW2967,2013-11-21T00:00:00Z,SumPBDEs11,0.39,NA,"D,LOQ",ng/g,wet,14.5993836671802,2.67134564643801
MWPE,2013,Mytilus trossulus,SPS_KSP,Kopachuck St Pk,47.3103,-122.68801,sand,NEP,2012-11-14T00:00:00Z,2013-01-08T00:00:00Z,13SPS_KSP-MTW01,NOAA,119-1645,MW2882,2013-05-30T00:00:00Z,SumPBDEs11,0.42,NA,D,ng/g,wet,14.1484878532474,2.96851511169514
PSMM2016,2016,Mytilus trossulus,NPS_DHCC,"Drayton Harbor, California Creek",48.962083,-122.7327,cobble_gravel,Whatcom County MRC,2015-10-27T00:00:00Z,2016-02-08T00:00:00Z,16NPS_DHCC-MTW01,NOAA,119-3328,PS3344,2016-05-24T00:00:00Z,SumPBDEs11,0.43,NA,"D,B,LOQ",ng/g,wet,16.11407576,2.66847448407429
PSMM2016,2016,Mytilus trossulus,PSS13175-000015,Tugboat Park,48.48932,-122.67606,Sand,RSMP/SAM,2015-10-28T00:00:00Z,2016-02-05T00:00:00Z,16RSMP015-MTW01,NOAA,119-3239,PS3339,2016-04-27T00:00:00Z,SumPBDEs11,0.43,NA,"D,B,LOQ",ng/g,wet,18.04908083,2.38239278803208
MWPE,2013,Mytilus trossulus,WB_PCB02,"Penn Cove, Pre-test Baseline 2",NA,NA,NA,NA,NA,NA,13WB_PCB-MTW02,NOAA,119-1828,MW2905,2013-06-27T00:00:00Z,SumPBDEs11,0.45,NA,"D,LOQ",ng/g,wet,14.8528819024586,3.02971506105836
MWPE,2013,Mytilus trossulus,HC_PGPJ,"Port Gamble, Pt Julia",47.85341,-122.57429,mud_sand,Port Gamble S'klallam Tribe,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,13WPS_PGPJ-MTW01,NOAA,119-1769,MW2889,2013-07-22T00:00:00Z,SumPBDEs11,0.45,NA,D,ng/g,wet,14.6194690265486,3.07808716707023
PSMM2016,2016,Mytilus trossulus,NPS_CPAR4,"Cherry Pt Aq Res 4, Conoco Phillips  ",48.82078,-122.71008,cobble_gravel; gravel_sand,WDFW,2015-10-27T00:00:00Z,2016-02-08T00:00:00Z,16NPS_CPAR4-MTW01,NOAA,119-3322,PS3344,2016-05-24T00:00:00Z,SumPBDEs11,0.45,NA,"D,B,LOQ",ng/g,wet,15.54047942,2.8956635624823
MWPE,2013,Mytilus trossulus,NPS_ANC,"Anacortes, Guemes Ferry",48.51858555,-122.624280083333,mud,NEP,2012-11-14T00:00:00Z,2013-01-08T00:00:00Z,NPS_ANC,NOAA,119-1691,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.47,NA,D,ng/g,wet,16.3769261161596,2.86989143546442
MWPE,2013,Mytilus sp.,WB_HPN,Hermosa Pt Natives,48.06175,-122.29294,cobble_sad,Tulalip Tribes,NA,2013-01-07T00:00:00Z,13WB_HPN-MXW01,NOAA,119-1929,MW2937,2013-10-30T00:00:00Z,lipids,0.47251986753405,0.47251986753405,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,WB_PCB01,"Penn Cove, Pre-test Baseline 1",NA,NA,NA,NA,NA,NA,13WB_PCB-MTW01,NOAA,119-1827,MW2905,2013-06-27T00:00:00Z,SumPBDEs11,0.48,NA,"D,LOQ",ng/g,wet,16.2118455629674,2.96079800498754
MWPE,2013,Mytilus trossulus,CPS_AB,"Elliott Bay, Alki-Duwamish Hd",47.58934,-122.39533,sand,NEP,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,13EB_AB-MTW01,NOAA,119-1639,MW2882,2013-05-30T00:00:00Z,SumPBDEs11,0.49,NA,D,ng/g,wet,15.1811624243429,3.22768432550519
PSMM2016,2016,Mytilus trossulus,WB_CB,Cavalero Beach Co. Park,48.174414,-122.475805,cobble_gravel (with sand),Stillaguamish Tribe,2015-10-26T00:00:00Z,2016-02-05T00:00:00Z,16WB_CB-MTW01,NOAA,119-3329,PS3344,2016-05-24T00:00:00Z,SumPBDEs11,0.49,NA,"D,B,LOQ",ng/g,wet,13.47117794,3.63739535015005
PSMM2016,2016,Mytilus trossulus,CPS_HCV,"Port Madison, Hidden Cove",47.6933,-122.54472,mud_sand,WDFW,2015-10-26T00:00:00Z,2016-02-07T00:00:00Z,16CPS_HCV-MTW01,NOAA,119-3311,PS3343,2016-05-19T00:00:00Z,SumPBDEs11,0.51,NA,D,ng/g,wet,15.9514244,3.19720663942713
MWPE,2013,Mytilus sp.,WB_EHN,Everett Hbr Natives,47.972103,-122.231625,sand,SCMRC,NA,2013-01-07T00:00:00Z,13WB_EHN-MXW01,NOAA,119-1926,MW2937,2013-10-30T00:00:00Z,lipids,0.51194584101589,0.51194584101589,D,%,wet,NA,NA
MWPE,2013,Mytilus sp.,CPS_EFN,Edmonds Ferry Natives,47.8141833333333,-122.38215,sand,SCMRC,NA,2013-01-07T00:00:00Z,13WB_EFN-MXW01,NOAA,119-1925,MW2937,2013-10-30T00:00:00Z,lipids,0.52256252973152,0.52256252973152,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_LSP,Larrabee St Pk,48.6422,-122.4857,sand,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,13NPS_LSP-MTW01,NOAA,119-1750,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.53,NA,"D,LOQ",ng/g,wet,15.3950722175021,3.44266004415012
MWPE,2013,Mytilus trossulus,SJF_PIAR,"Protection Is Aq Res, Thompson Spit",48.09669,-122.9394,cobble_sad,DNR Aq.Rs.,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13SJF_PIAR-MTW01,NOAA,119-1751,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.53,NA,"D,LOQ",ng/g,wet,16.0244749462543,3.30744066047472
MWPE,2013,Mytilus trossulus,SJI_OINS,"N Shore, Orcas Is",48.7110166666666,-122.929211111111,cobble_sad,San Juan County MRC,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13SJI_OINS-MTW01,NOAA,119-1753,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.56,NA,"D,LOQ",ng/g,wet,16.7171797734885,3.34984732824429
MWPE,2013,Mytilus trossulus,NPS_PB,Padilla Bay,48.4924,-122.4866,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_PB,NOAA,119-1696,MW2885,2013-06-13T00:00:00Z,SumPCBs2x17,0.57,0.57,D,ng/g,wet,13.8226882745471,4.12365517241382
MWPE,2013,Mytilus trossulus,SPS_JP,Johnson Pt,47.17825,-122.81553,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-11T00:00:00Z,SPS_JP,NOAA,119-1699,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.57,NA,"D,LOQ",ng/g,wet,15.2114862242918,3.74716836734694
PSMM2016,2016,Mytilus trossulus,PSS13175-000047,"Cherry Point Aq Reserve, Birch Bay South",48.895633,-122.782483,cobble_gravel,RSMP/SAM,2015-10-27T00:00:00Z,2016-02-08T00:00:00Z,16RSMP047-MTW01,NOAA,119-3274,PS3341,2016-05-17T00:00:00Z,SumPBDEs11,0.58,NA,"D,B,LOQ",ng/g,wet,16.57107008,3.50007571750007
MWPE,2013,Mytilus trossulus,NPS_CPAR1,"Cherry Pt Aq Res, 1 Alcoa-BP",48.85843,-122.74073,cobble,SSA Marine,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,13NPS_CPAR1-MTW01,NOAA,119-1740,MW2887,2013-06-26T00:00:00Z,SumPBDEs11,0.59,NA,"D,LOQ",ng/g,wet,15.0323071075636,3.92487989886222
MWPE,2013,Mytilus trossulus,SPS_TSP,Tolmie St Pk,47.121988,-122.772879,mud_sand,NEP,2012-11-12T00:00:00Z,2013-01-08T00:00:00Z,13SPS_TSP-MTW01,NOAA,119-1822,MW2905,2013-06-27T00:00:00Z,SumPBDEs11,0.59,NA,"D,LOQ",ng/g,wet,14.6674468500097,4.02251329787235
PSMM2016,2016,Mytilus trossulus,HC_FP,Fisherman's Point,47.78221,-122.83443,cobble_gravel,WDFW,2015-10-26T00:00:00Z,2016-02-08T00:00:00Z,16HC_FP-MTW01,NOAA,119-3321,PS3344,2016-05-24T00:00:00Z,SumPBDEs11,0.59,NA,"D,B,LOQ",ng/g,wet,16.75871263,3.52055681737649
MWPE,2013,Mytilus trossulus,NPS_BLSC,"Bellingham Bay, Little Squalicum Crk",48.7639,-122.5175,cobble_sad,City of Bellingham,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,13NPS_BLSC-MTW01,NOAA,119-1736,MW2887,2013-06-26T00:00:00Z,SumPBDEs11,0.62,NA,"D,LOQ",ng/g,wet,15.9612550010528,3.88440633245384
MWPE,2013,Mytilus trossulus,WB_CVWF,"Coupeville Wharf, Toby's Tavern",48.2219,-122.68633,mud_sand,NEP,2012-11-14T00:00:00Z,2013-01-08T00:00:00Z,WB_CVWF,NOAA,119-2044,MW2967,2013-11-21T00:00:00Z,SumPBDEs11,0.64,NA,D,ng/g,wet,15.3974121996303,4.15654261704682
MWPE,2013,Mytilus trossulus,CPS_DMCP,"Maxwelton, Dave Mackie Co Pk",47.94,-122.447,sand,NEP,2012-11-12T00:00:00Z,2013-01-10T00:00:00Z,WB_DMCP,NOAA,119-2045,MW2967,2013-11-21T00:00:00Z,SumPBDEs11,0.64,NA,"D,LOQ",ng/g,wet,15.2857142857142,4.18691588785049
PSMM2016,2016,Mytilus trossulus,NPS_FBAR,"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48273,-122.58545,gravel_sand,DNR,2015-10-29T00:00:00Z,2016-02-09T00:00:00Z,16NPS_FBAR-MTW01,NOAA,119-3302,PS3343,2016-05-19T00:00:00Z,SumPBDEs11,0.65,NA,"D,LOQ",ng/g,wet,15.81352834,4.11040462333658
MWPE,2013,Mytilus trossulus,CPS_PJ,Pt Jefferson,47.77971,-122.48229,sand,NEP,2012-11-13T00:00:00Z,2013-01-10T00:00:00Z,WPS_PJ,NOAA,119-2051,MW2967,2013-11-21T00:00:00Z,SumPBDEs11,0.65,NA,"D,LOQ",ng/g,wet,15.2314217222939,4.26749394673124
MWPE,2013,Mytilus trossulus,SPS_OBI,"Olympia, Budd Inlet, N Pt",47.0605,-122.90545,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-11T00:00:00Z,SPS_OBI,NOAA,119-1700,MW2885,2013-06-13T00:00:00Z,lipids,0.65543592393244,0.65543592393244,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,SPS_FI,"Fox, Tanglewood Is",47.26457,-122.64442,mud_sand,NEP,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,SPS_FI,NOAA,119-1698,MW2885,2013-06-13T00:00:00Z,lipids,0.65636135398588,0.65636135398588,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_GH,"Gig Hbr, Narrows Psg",47.3255,-122.57615,cobble,NEP,2012-11-14T00:00:00Z,2013-01-08T00:00:00Z,13CPS_GH-MTW01,NOAA,119-1730,MW2887,2013-06-26T00:00:00Z,lipids,0.65824890607947,0.65824890607947,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,PSS13175-000031,"Eastsound, Fishing Bay",48.693867,-122.910589,cobble_gravel,RSMP/SAM,2015-10-26T00:00:00Z,2016-02-05T00:00:00Z,16RSMP031-MTW01,NOAA,119-3266,PS3341,2016-05-17T00:00:00Z,SumPBDEs11,0.66,NA,"D,B,LOQ",ng/g,wet,18.47993478,3.57144117583298
MWPE,2013,Mytilus trossulus,HC_PGW,"Port Gamble, W",47.84206,-122.58505,mud_sand,Port Gamble S'klallam Tribe,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,13WPS_PGW-MTW01,NOAA,119-1770,MW2889,2013-07-22T00:00:00Z,SumPBDEs11,0.67,NA,D,ng/g,wet,15.1959054006353,4.40908246225321
MWPE,2013,Mytilus trossulus,NPS_PB,Padilla Bay,48.4924,-122.4866,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_PB,NOAA,119-1696,MW2885,2013-06-13T00:00:00Z,lipids,0.68774190671956,0.68774190671956,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CPS_PNP,Point No Point,47.90860277,-122.52672253,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,CPS_PNP,NOAA,119-1679,MW2884,2013-06-04T00:00:00Z,SumPBDEs11,0.7,NA,D,ng/g,wet,15.2160681679853,4.60040000000003
MWPE,2013,Mytilus trossulus,SPS_NRQR,"Nisqually Rch Aq Res, Anderson Is",47.149421,-122.676382,sand,DNR Aq.Rs.,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,13SPS_NRQR-MTW01,NOAA,119-1821,MW2905,2013-06-27T00:00:00Z,lipids,0.70439687925398,0.70439687925398,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,WPS_SIWP,"Sinclair Inlet, Waterman Pt",47.58467,-122.57053,rock,NEP,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13WPS_SIWP-MTW01,NOAA,119-1833,MW2905,2013-06-27T00:00:00Z,lipids,0.70833558871851,0.70833558871851,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,CB_HYW2,Hylebos Waterway 2,47.2699,-122.37637,cobble_mud,TPCPHD,2012-11-14T00:00:00Z,2013-01-09T00:00:00Z,13CPS_HYW2-MTW01,NOAA,119-1616,MW2881,2013-05-22T00:00:00Z,lipids,0.71598587959325,0.71598587959325,D,%,wet,NA,NA
MWPE,2013,Mytilus trossulus,NPS_MP,March Pt,48.49955,-122.56746,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_MP,NOAA,119-1695,MW2885,2013-06-13T00:00:00Z,lipids,0.73442139912414,0.73442139912414,D,%,wet,NA,NA
MWPE,2013,Mytilus sp.,CB_HYWN,Hylebos Waterway Natives,47.267746,-122.372773,cobble_mud,TPCPHD,NA,2013-01-09T00:00:00Z,13CPS_HYWN-MXW01,NOAA,119-1930,MW2937,2013-10-30T00:00:00Z,lipids,0.74825130982558,0.74825130982558,D,%,wet,NA,NA
